"Title:","Vehicles in Fatal Crashes, by Vehicle Make / Model Year from the Fatal Traffic Accidents: Vehicles Involved Database"
"SubTitle:","USA - Model: All Models - Vehicle Year: All Vehicle Years"
"Time:","01/1975 - 12/2020"
"Unit of Measure:","#","#","#","#","#","#","#","#","#","#","#","#"
"Citation:","National Highway Traffic Safety Administration (2022-05-06). Fatal Traffic Accidents: Vehicles Involved: Vehicles in Fatal Crashes, by Vehicle Make / Model Year | All Types | Automobiles | Motorcycles | All Makes | BMW | Jaguar | Mercedes-Benz | Porsche | All Models | All Vehicle Years, 01/1975 - 12/2020. Data Planet? Statistical Datasets: A SAGE Publishing Resource. (Dataset). Dataset-ID:  023-004-006 doi:https://doi.org/10.6068/DP1845DD381D750"
"ColumnCount:",13
"RowCount:",552

"Time","All Types, All Makes, All Models, All Vehicle Years, #","All Types, BMW, All Models, All Vehicle Years, #","All Types, Jaguar, All Models, All Vehicle Years, #","All Types, Mercedes-Benz, All Models, All Vehicle Years, #","All Types, Porsche, All Models, All Vehicle Years, #","Automobiles, All Makes, All Models, All Vehicle Years, #","Automobiles, BMW, All Models, All Vehicle Years, #","Automobiles, Jaguar, All Models, All Vehicle Years, #","Automobiles, Mercedes-Benz, All Models, All Vehicle Years, #","Automobiles, Porsche, All Models, All Vehicle Years, #","Motorcycles, All Makes, All Models, All Vehicle Years, #","Motorcycles, BMW, All Models, All Vehicle Years, #"
"07/1999",10288,48,6,18,6,4766,44,6,18,6,706,4
"08/1999",10722,52,10,22,10,4992,44,10,22,10,700,8
"09/1999",10050,46,2,22,4,4728,42,2,20,4,582,4
"10/1999",10564,60,8,28,10,5126,50,8,28,10,468,10
"11/1999",9876,46,12,32,8,5052,44,12,32,8,270,2
"12/1999",9984,52,4,28,8,5236,50,4,24,8,136,2
"01/2000",4402,19,3,19,3,2129,18,3,17,3,80,1
"02/2000",3904,16,1,11,1,1930,16,1,10,1,90,
"03/2000",4369,14,2,14,2,2119,11,2,13,2,199,3
"04/2000",4639,24,1,20,,2332,20,1,18,,248,4
"05/2000",4863,19,2,23,3,2295,17,2,20,3,329,2
"06/2000",5027,25,3,19,1,2319,22,3,19,1,400,3
"07/2000",5344,17,3,11,4,2522,17,3,10,4,401,
"08/2000",5289,25,6,21,2,2427,21,6,21,2,428,4
"09/2000",5137,23,5,16,3,2424,17,5,16,3,347,6
"10/2000",5178,21,5,9,5,2540,19,5,7,5,251,2
"11/2000",4625,25,3,16,2,2362,22,3,14,2,119,1
"12/2000",4817,25,3,21,6,2378,22,3,19,6,82,3
"01/2001",4117,19,4,14,5,2067,17,4,11,5,73,2
"02/2001",3956,24,4,14,2,1975,24,4,9,2,97,
"03/2001",4311,24,3,13,2,2131,20,3,13,2,156,4
"04/2001",4526,19,2,18,5,2194,16,2,16,5,308,3
"05/2001",5028,20,3,14,3,2306,14,3,11,3,357,4
"06/2001",4873,23,,22,2,2246,19,,22,2,402,4
"07/2001",5229,24,5,19,2,2398,17,5,17,2,441,7
"08/2001",5373,20,5,13,1,2471,15,5,12,1,425,4
"09/2001",4930,20,1,20,1,2275,16,1,18,1,388,4
"10/2001",5304,27,2,22,2,2524,22,2,18,2,271,5
"11/2001",5104,24,2,20,2,2440,22,2,18,2,200,2
"12/2001",5167,27,4,22,,2561,22,4,17,,142,4
"01/2002",4567,20,8,15,7,2256,16,8,13,7,102,2
"02/2002",4034,24,3,14,4,1974,22,3,13,4,127,2
"03/2002",4727,20,1,15,2,2284,19,1,11,2,184,1
"04/2002",4455,24,3,15,2,2142,18,3,14,2,259,4
"05/2002",5008,22,5,17,5,2317,16,5,14,5,374,5
"06/2002",5155,21,3,19,4,2291,16,3,16,4,451,4
"07/2002",5262,29,5,26,1,2369,23,5,24,1,431,6
"08/2002",5314,22,1,18,9,2310,19,1,14,9,482,2
"09/2002",5109,28,5,17,3,2330,24,5,13,3,431,4
"10/2002",5154,28,5,15,1,2406,24,5,12,1,249,1
"11/2002",4796,19,1,21,2,2313,17,1,15,2,178,1
"12/2002",4845,21,6,21,1,2383,20,6,18,1,93,1
"01/2003",4167,18,7,16,5,1947,18,7,12,5,85,
"02/2003",3809,9,1,15,,1778,7,1,12,,98,
"03/2003",4370,22,8,14,3,2042,19,8,14,3,216,3
"04/2003",4812,23,2,16,3,2194,16,2,14,3,376,7
"05/2003",4924,25,4,21,1,2250,23,4,19,1,373,2
"06/2003",5126,23,3,16,,2253,21,3,14,,460,1
"07/2003",5373,30,5,20,1,2276,21,5,20,1,509,8
"08/2003",5574,36,4,24,5,2390,31,4,22,5,536,4
"09/2003",5070,27,2,25,6,2222,22,2,20,6,472,4
"10/2003",5482,32,7,27,2,2460,25,7,27,2,351,4
"11/2003",5279,28,12,18,3,2522,27,12,15,3,198,1
"12/2003",4891,24,6,19,1,2236,22,6,17,1,128,2
"01/2004",4505,16,7,20,,2075,15,7,17,,125,1
"02/2004",4055,24,1,26,3,1929,23,1,23,3,145,1
"03/2004",4449,19,1,20,1,2033,16,1,18,1,270,1
"04/2004",4683,25,4,19,4,2086,20,4,17,4,366,5
"05/2004",5152,25,4,23,5,2203,23,4,21,4,469,1
"06/2004",5145,22,3,23,1,2131,17,3,20,1,480,3
"07/2004",5294,32,2,17,2,2182,25,2,15,2,576,7
"08/2004",5419,30,7,23,2,2199,24,7,22,2,549,6
"09/2004",4910,23,9,15,4,2032,13,9,14,4,464,8
"10/2004",5231,23,6,26,1,2283,19,6,24,1,349,3
"11/2004",4849,24,7,15,1,2224,21,7,15,1,191,2
"12/2004",5037,11,4,19,2,2311,9,4,17,2,136,1
"01/2005",4298,16,7,22,2,1968,14,7,19,2,148,1
"02/2005",4011,22,3,16,2,1812,19,3,12,1,130,1
"03/2005",4411,21,1,13,3,1959,18,1,13,3,239,3
"04/2005",4914,28,6,20,6,2054,24,6,14,6,446,2
"05/2005",5019,40,4,16,5,2084,27,4,16,5,487,10
"06/2005",5186,23,4,24,2,2086,18,4,19,1,527,4
"07/2005",5683,31,6,25,3,2285,25,6,21,3,622,3
"08/2005",5282,31,5,22,3,2171,23,5,20,3,579,5
"09/2005",5081,39,6,15,2,2034,25,6,12,2,609,14
"10/2005",5504,28,4,24,2,2314,22,4,19,2,458,5
"11/2005",5212,38,10,24,4,2266,33,10,22,4,291,4
